Location,Price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15
"RTO Colony, Uttara Nagar,Nashik",585000,2,1.75,1980,8550,1,990,990,1981,0,1480,6738
"TIDKE NAGAR, Nashik",920000,5,2.25,2730,6000,1.5,2130,600,1927,0,2730,6000
"Suyog Park,Datey Nagar, Veer Sawarkar Nagar,Nashik",885000,4,2.5,2830,5000,2,2830,0,1995,0,1950,5000
"sukdev appartment,Nashik Road, Nashik",292500,4,2.5,2250,4495,2,2250,0,2008,0,2250,4500
"Rajashree app,Pawar Wadi, Nashik",301000,3,2.5,2420,4750,2,2420,0,2003,0,2690,4750
"Asha Nagar, Nashik",951000,5,3.25,3250,14342,2,3250,0,1968,0,2960,11044
"Raviwar Karanja, Panchavati,Nashik",430000,4,3,1850,9976,2,1850,0,1991,0,2270,8542
"Nashik Road, Nashik",650000,3,2.25,2150,21235,1,1590,560,1959,0,2570,18900
"Sreyash Plaza,Nashik Road, Nashik",289000,3,1.75,1260,8400,1,1260,0,1954,0,1290,8750
"Rajashree Enclave by Rajashree Developers, Saptashrungi Nagar, Kamatwade Gaon,Nashik",505000,3,1.75,2519,8690,2,2519,0,1973,0,2500,9500
"No Available,Ambad Village, Nashik",549000,3,1.75,1540,1044,3,1540,0,2014,0,1580,3090
"Laxmi Shubh Apt,Nashik Road, Nashik",425000,3,2.25,1660,6000,1,1110,550,1979,0,1440,4080
"Dnyaneshwari Appartment,Cidco, Nashik",317625,3,2.75,2770,3809,1.5,1770,1000,1925,0,1440,4000
"Hiren Court Apartment,Ganpati Nagar, Anandwalli Gaon,Nashik",975000,4,2.5,2720,11049,2,2720,0,1989,0,2750,11049
"Rajashri empire,Abhiyanta Nagar, Nashik",287000,4,2.5,2240,4648,2,2240,0,2005,0,2221,4557
"Vascon Vista Phase 2, Kala Nagar, Indira Nagar,Nashik",204000,3,1,1000,12070,1,1000,0,1968,0,1010,12635
"Attri Krupa Apartment,Prabudha Nagar, Satpur,Nashik",1330000,5,2.25,3200,20158,1,1600,1600,1965,0,3390,20158
"shivalaya,Nashik Road, Nashik",1040000,5,3.25,4770,50094,1,3070,1700,1973,0,3530,38917
"cido building,Cidco, Nashik",325000,3,2,1260,5612,1,1260,0,1972,0,1640,4745
"Shantivan Appatment, Police Staff Colony, Nashik",571000,4,2,2750,7807,1.5,2250,500,1916,0,1510,7807
"Mhasrul Gaon, Nashik",360000,4,2.5,2380,5000,2,2380,0,2005,0,2420,5000
"Siddhi Vinyak Park ,Ganesh Baba Nagar, Nashik",349000,3,1.75,1790,50529,1,1090,700,1965,0,1940,50529
"anand mangal apartment ,Gangapur, Nashik",832500,4,4,3430,35102,2,2390,1040,1986,0,3240,35020
"Shubham Park, Indraprastha Colony, Nashik",380000,4,1.75,1760,7300,1,880,880,1956,0,1680,7500
"Avdha apt,Satpur, Nashik",480000,3,1,1040,5060,1,1040,0,1941,0,890,5060
"Girija park appt ,Jagtap Nagar, Nashik",410000,3,1,1410,5060,1,910,500,1956,0,1130,5693
"S.T. Colony, Nashik",720000,4,2.5,3450,39683,2,3450,0,2002,0,3350,39750
"Jejurkar Wadi, Sharanpur,Nashik",390000,3,2.5,2350,5100,2,2350,0,2003,0,2350,5363
"Prabhat pushp apartment adarsh nagar ramwadi,Vijaynagar Colony, Nashik",360000,4,2.5,1900,5889,2,1900,0,1992,0,1870,6405
"Rajpal Colony, Nashik",355000,2,1,2020,6720,1,1010,1010,1948,0,1720,6720
"Narayan Bapu Housing Society,Madsangavi, Nashik",356000,3,1.5,1680,8712,1,1680,0,1964,0,1850,8797
"bhawani nakshtra nashik,Gangapur, Nashik",315000,3,1,960,6634,1,960,0,1952,0,1570,7203
"Nashik Road, Nashik",940000,3,1.5,2140,3600,2,1900,240,1925,0,2020,4800
"THAKKAR RETREAT,D'souza Colony, Nashik",305000,5,2.25,2660,8400,1.5,2660,0,1961,0,1590,8165
"Shri Ashish Apartment,Gayakhe Colony, Nashik Road,Nashik",461000,3,3.25,2770,6278,2,1980,790,2006,0,1900,7349
"Hari Sanskruti, Ghatkopar, Nashik",215000,2,2.25,1610,2040,2,1610,0,1979,0,1950,2025
"Shree Gajanan Park, Nashik Road, Nashik",335000,2,1.75,1030,1066,2,765,265,2006,0,1030,1106
"Gandhi Nagar Airport Area, Deolali Gaon,Nashik",243500,4,2.5,1980,7403,2,1980,0,1988,0,1980,7510
"Gurudatta Nagar, Nashik Road,Nashik",1100000,5,2.75,3520,6353,2,3520,0,2001,0,2520,6250
"siddhi apartment flat no 20 6th floor jail road nashik near rajrajeshwari mangal karyalay,Nashik Road, Nashik",153000,3,1,1200,10500,1,1200,0,1962,0,1350,10500
"Archit Royale, Mahatma Nagar, Parijat Nagar,Nashik",430000,3,1.5,1580,5000,1,1290,290,1939,0,1570,4500
"Omsai apartment,RTO Colony, Uttara Nagar,Nashik",700000,3,1.5,1580,5000,1,1290,290,1939,0,1570,4500
"Luvkush apartment,Apla Maharashtra Colony, Nashik",905000,4,2.5,3300,10250,1,2390,910,1946,1991,1950,6045
"Nashik Road, Nashik",247500,3,1.75,1960,15681,1,1960,0,1967,0,1750,15616
"Brahmachaitanya Society,Arcit Vihar Wing B, Shreerang Nagar,Nashik",199000,4,1.5,1160,6400,1,1160,0,1975,0,1160,6400
"palm residency,Nashik Road, Nashik",314000,3,1.75,1810,41800,1,1210,600,1980,0,1650,135036
"SHIV DARSHAN APARTMENT ,Vaiduwadi, Nashik",437500,3,2.5,2320,36847,2,2320,0,1992,0,2550,35065
"Dream citi,Nashik Road, Nashik",850830,3,2.5,2070,13241,1.5,1270,800,1910,0,2200,4500
"DHRUV APPT CHEATNA NAGAR,Koknipura, Nashik",555000,3,2,1980,3478,1.5,1440,540,1929,0,1610,3478
"S.T. Colony, Nashik",699950,3,2.25,2190,107593,2,2190,0,1983,0,2570,47777
"Vrindavan Gardens, Shramik Nagar, Nashik",1090000,3,2.5,2920,8113,2,2920,0,1950,2010,2370,8113
"happy home colony,Gulshan Colony, Nashik",290000,3,1,1210,33919,1,1210,0,1954,0,1640,14910
"Ashapura Enclave, Damodar Nagar, Pathardi Phata,Nashik",375000,3,2.5,2340,10005,1,1460,880,1978,0,2250,8162
"Manik Nagar, Nashik",460000,3,1,1670,4005,1.5,1170,500,1939,0,1240,4005
"HARIDARSHAN APARTMENT,Ojhar, Nashik",188500,2,1.75,1240,2493,1,1240,0,1985,0,1270,4966
"Rishikesh Apartment,Nashik Road, Nashik",680000,4,2.5,3140,28037,2,3140,0,1991,0,2990,35001
"Executive residency,Jetvan Nagar, Nashik Road,Nashik",470000,5,1.75,2030,12342,2,2030,0,1942,0,2500,9433
"Tejas Apartment, Nashik Road, Nashik",597750,4,2.5,2310,9624,2,2310,0,1984,0,1940,9636
"No Apartment,Balawant Nagar, Anandwalli Gaon,Nashik",570000,3,1.75,1260,3328,1,700,560,1905,0,1380,3536
"Town Squire City Apartment,Nashik Road, Nashik",272500,3,1.75,1540,12600,1,1160,380,1980,0,1540,11656
"Town Squire City Apartment,Nashik Road, Nashik",329950,3,1.75,2080,5969,1,1080,1000,1971,0,2090,5500
"Town Squire City Apartment,Nashik Road, Nashik",480000,4,2.5,3230,16171,2,2520,710,2001,0,2640,8517
"Town Squire City Apartment,Nashik Road, Nashik",740500,3,3.5,4380,6350,2,2780,1600,1900,1999,1830,6350
"Goutam Park Society,Ayodhya Nagar, Nashik Road,Nashik",518500,3,3.5,1590,1102,3,1590,0,2010,0,1620,3166
"Goutam Park Society,Ayodhya Nagar, Nashik Road,Nashik",205425,2,1,880,6780,1,880,0,1945,0,1190,6780
"Ambedkar Nagar, Chunchale,Nashik",171800,4,2,1570,9600,1,1570,0,1950,0,1880,9000
"Pokar Bhavan,CDO-MERI Colony, Nashik",535000,4,1,1610,2982,1.5,1610,0,1925,0,1610,4040
"Nimbus heights,Mahalakshmi Nagar, MIDC Ambad,Nashik",660000,3,2.5,2400,6474,1,1560,840,1964,0,2340,10856
"Greenville,MIDC Ambad, Nashik",391500,3,2,1450,9132,1,1450,0,1987,0,1580,9104
"Ashok Vrundavan ,Rajpal Colony, Nashik",395000,2,1,770,6000,1,770,0,1953,0,1710,6000
"Adarsh complex,Kala Nagar, Indira Nagar,Nashik",445000,4,1.75,2100,4400,1.5,1720,380,1924,0,1850,4400
"Mahalakshmi Nagar, MIDC Ambad,Nashik",770000,3,2.25,2910,10204,2,2910,0,1990,0,2700,13992
"Om Residency, Prabudha Nagar, Satpur,Nashik",1450000,4,2.75,2750,17789,1.5,1980,770,1914,1992,3060,11275
"Vraj Vihar Apartment, Tirumla Nagar, Wadala Gaon,Nashik",445000,3,2.25,2100,8201,1,1620,480,1967,0,2660,8712
"roongta Imperia,Radha Vasudev Batavia Nagar, Govind Nagar,Nashik",260000,4,2.25,2160,8811,1,1360,800,1978,0,2090,8400
"Sangeet Residency,Radha Vasudev Batavia Nagar, Govind Nagar,Nashik",822500,5,3.5,2320,4960,2,1720,600,1926,0,1700,4960
"Karda Constructions Hari Sanskruti Kharjjul Mala Nashik,Ghatkopar, Nashik",430000,4,2.5,2070,4310,2,2070,0,2004,0,1970,3748
"Anmol Apartments,Gulshan Colony, Nashik",212000,3,1.75,1060,7875,1,1060,0,1986,0,1420,7680
"Sai darshan,Shanker Nagar, Veer Sawarkar Nagar,Nashik",660500,4,2.25,2010,9603,1,1440,570,1986,0,2060,9793
"Akshardham Apartment, Panchavati, Nashik",784000,3,3.5,3950,111078,1.5,2460,1490,1989,0,2480,88500
"Chandradeep,Kishor Nagar, Nashik",453246,3,2.5,2010,2287,2,1390,620,2014,0,1690,1662
"Aradhana Apartment, Ashoknagar, Satpur,Nashik",675000,4,3.5,2140,2278,3,2140,0,2005,0,1540,2285
"Swaminarayan Nagar, Nashik",199000,3,1.75,1320,17390,1,1320,0,1956,0,1550,19265
"Shambhuraj Heights,Mahajan Nagar, Nashik",220000,4,1.75,2020,7840,1,1010,1010,1968,0,1750,8140
"Patil Prestige, Trimbak, Nashik",452000,4,2.25,2590,10002,1,1340,1250,1968,0,1550,10436
"Trimbak, Nashik",382500,2,1,1190,4440,1,1190,0,1981,0,1060,5715
"Saptshrungi Indrayani Complex by Saptshrungi Assocaites, Gangapur, Nashik",519950,3,2.25,1170,1249,3,1170,0,2014,0,1350,1310
"Shree Shivram Prestige Pride D, Ghatkopar, Nashik",665000,2,1,1110,3200,1,1110,0,1925,0,1170,3600
"Nachiketa Society,Kausalya Nagar, Ram Wadi,Nashik",527700,5,2.5,2820,9375,1,1550,1270,1968,0,2820,9375
"Govinda Apartment,Panchavati, Nashik",205000,3,1,1610,8579,1,1010,600,1962,0,1610,8579
"Sairatan ,Laxman Nagar, Nashik Road,Nashik",420000,3,1,1060,8097,1,940,120,1923,0,1560,7940
"Aakar Building,Shanker Nagar, Veer Sawarkar Nagar,Nashik",500000,4,2.25,2030,8517,1,1380,650,1961,0,2230,8824
"Pratham Apartment Vidhate Nagar,RTO Colony, Uttara Nagar,Nashik",921500,4,2.5,3670,315374,2,3670,0,1994,0,2840,87991
"Vinayak Residency, Janak Nagari, Nashik",890000,4,1,2550,4000,2,2370,180,1905,0,2200,4000
"Ruturang Park,Matoshree Nagar, Nashik",430000,2,2.5,2420,60984,2,2420,0,2007,0,1940,193842
"Manik Nagar, Nashik",258000,5,2,2260,12500,1,1130,1130,1960,0,1360,18000
"Saisiddhi Apartment, Cidco, Nashik",511000,3,1,1430,3455,1,980,450,1947,0,1450,4599
"Swaraj Maomay,Sadguru Nagar, Nashik",532170,3,2,1360,3090,2,1360,0,1990,0,1500,3090
"Shree Swagat Apartment, Swami Samarth Nagar, Nashik Road,Nashik",560000,3,1,1110,5000,1.5,1110,0,1947,0,1420,5000
"Shiv sunder Apt,Jagtap Nagar, Nashik",282950,3,1,1250,8200,1,1250,0,1954,0,1680,8633
"Vajravihar Aparatment,Chetana Nagar, Rane Nagar,Nashik",2250000,4,3.25,5180,19850,2,3540,1640,2006,0,3160,9750
"Lambodar heights Murlidhar nagar,Prashant Nagar, Pathardi Phata,Nashik",350000,1,1,700,5100,1,700,0,1942,0,1010,5100
"Jagtap Nagar, Nashik",215000,3,1,1180,7669,1,1180,0,1967,0,1190,7669
"Shalimar, Nashik",650000,5,3.5,3960,25245,2,2500,1460,1996,0,2640,13675
"Girija park,Jagtap Nagar, Nashik",320000,4,2.75,2640,7500,1,1620,1020,1967,0,1980,7875
"Panchavati, Nashik",247000,3,2,1270,7198,1.5,1270,0,1916,2013,1160,7198
"Shree Sham Avenue,Balawant Nagar, Anandwalli Gaon,Nashik",320000,4,1.75,1760,11180,1,1760,0,1968,0,1730,11180
"Sree Sham Avenue,Prabudha Nagar, Satpur,Nashik",255000,5,2.25,2060,8632,1,1030,1030,1962,0,1010,11680
"Girija Park Appt ,Jagtap Nagar, Nashik",438000,3,1.75,1780,9660,1,1780,0,1962,0,1200,9660
"Building ,Nashik Road, Nashik",900000,3,2.5,3400,16603,2,3400,0,2000,0,3400,12601
"Krupa, Makhmalabad, Nashik",441000,3,2.75,1910,7280,1,1160,750,1979,0,1710,8152
"Loksahakar Nagar, Nashik",420000,3,2,2020,38332,1,1010,1010,1975,0,2110,36590
"Patil Classic, Sadguru Nagar, Nashik",370000,3,1.75,1580,7000,1,1180,400,1976,0,1640,7500
"Mhasrul Gaon, Nashik",269950,2,1.75,1340,7250,1,700,640,1949,0,1830,9750
"Upnagar bus stop,Ayodhya Nagar, Nashik Road,Nashik",807100,4,2.5,2680,4499,2,2680,0,1999,0,2920,4500
"shree residency,Dwarka, Nashik",653000,3,2.5,2680,9750,1,1610,1070,1979,0,2480,8750
"Ganesh Parvati Apartment,Deepali Nagar, Nashik",371500,3,2,1370,8336,1,1370,0,1964,0,1770,7288
"Vishwanath Park,Atharv Colony, Veer Sawarkar Nagar,Nashik",284000,3,1.75,1560,21000,1,1560,0,1954,0,1070,7920
"Goutham Residency, Damodar Nagar, Pathardi Phata,Nashik",272000,3,1.75,2160,7140,1,1670,490,1978,0,1930,7350
"Karma Galaxy,Dwarka, Nashik",313000,3,1.5,1340,7912,1.5,1340,0,1955,0,1480,7940
"Shrihar darshan Apartment,Shivshakti Nagar, Nashik",917500,4,2.5,3880,35003,2,2570,1310,1984,0,3740,35230
"Govinda apartment,CDO-MERI Colony, Nashik",673000,4,2.25,2590,8190,2,2590,0,1980,0,2260,8335
"Divya coop Hsg Society,Shantipark, Nashik Road,Nashik",425000,3,2.5,1120,1100,2,820,300,2008,0,1590,1795
"Gurukrupra,Kala Nagar, Indira Nagar,Nashik",399950,5,2.75,1970,5400,1,1320,650,1986,0,1280,2150
"gurukrupa Apartment,Kishor Nagar, Nashik",385000,3,1,1220,4800,1,1220,0,1901,0,1200,4800
"Dales Green Dale, Gandhi Nagar Airport Area, Nashik Road,Nashik",269950,3,1.5,1950,7560,1,1320,630,1975,0,1950,8941
"Professor Colony, Nashik",330000,2,1,1350,8220,1,1060,290,1949,0,1540,8280
"Madhoor Mangal Avenue, Suyog Colony, Satpur,Nashik",260000,3,2.5,1670,5797,2,1670,0,1988,0,1670,6183
"Ayodhya Nagari, Nashik",470000,4,3,2380,5125,1.5,1680,700,1925,0,1410,5375
"Hari Sanskruti, Ghatkopar, Nashik",589000,4,3,2440,9600,2,2440,0,1961,0,2290,9600
"Divya Shakti Apartment ,Mhasrul Gaon, Nashik",163500,2,1.5,1050,3419,2,1050,0,1996,0,1050,3417
"Rishabh apartment,Kalpana Nagar, College Road,Nashik",835000,4,2.75,3130,13412,2,2140,990,1993,0,2260,9984
"Annapurna Heights, Vaiduwadi, Nashik",1100000,5,3,4090,12850,1,2090,2000,1986,0,2540,10270
"Dreamflower CHS,RTO Colony, Uttara Nagar,Nashik",269000,4,1.75,1490,10000,1,1100,390,1969,0,2190,8910
"Vajravihar ,Chetana Nagar, Rane Nagar,Nashik",560000,3,2.5,1900,8744,2,1900,0,1987,0,2030,8744
"Gandhi Nagar Airport Area, Deolali Gaon,Nashik",615000,4,1,1330,2400,1.5,1330,0,1901,0,1330,4400
"Abhiyanta Nagar, Nashik",585188,3,2.25,2230,10026,1,1430,800,1975,0,2230,9340
"prshant,Makhmalabad, Nashik",305000,3,1.75,1650,9480,1,1220,430,1977,0,1540,8400
"Gayakhe Colony, Nashik Road,Nashik",166950,3,1,1190,8820,1,1190,0,1959,0,1230,7980
"Nilesh Apartment,Mhasrul Gaon, Nashik",799000,3,2.5,2140,9897,1,2140,0,1959,0,2680,10083
"Alaknanda Society, Dwarka, Nashik",400000,3,2.5,2180,7508,1,1420,760,1962,0,1900,7818
"Government,Kishor Nagar, Nashik",230000,3,1,1060,10228,1,1060,0,1948,0,1570,10228
"Sai ratna,Nashik Road, Nashik",256883,3,2.5,1690,5025,2,1690,0,2003,0,2550,5001
"Vasantdadanagar, Adgaon,Nashik",423000,4,2,1970,6480,1.5,1130,840,1920,0,1500,6480
"Damodar Nagar, Pathardi Phata,Nashik",465000,3,2.5,2150,4084,2,2150,0,2007,0,1750,2385
"Vascon Vista Phase 2, Kala Nagar, Indira Nagar,Nashik",440000,3,2.5,1910,66211,2,1910,0,1997,0,2330,67268
"Wadala Gaon, Nashik",385000,3,1.75,1350,155073,1,1350,0,1969,0,1560,50965
"Hari krishna Park,Panchavati, Nashik",210000,3,1,860,11725,1,860,0,1943,0,1300,9514
"Rameshwar co op hsg society,Nashik Road, Nashik",297000,3,2.5,1940,14952,2,1940,0,1994,0,2030,10450
"College Road, Nashik",470000,3,1,1010,5000,1,1010,0,1952,0,1680,5000
"Anand Vihar Colony, Veer Sawarkar Nagar,Nashik",226500,3,1.5,1300,7370,1,900,400,1976,0,1430,7500
"Nashik Road, Nashik",274250,3,1,910,8450,1,910,0,1962,0,1400,8040
"Kalpataru Nagar, Nashik",840000,4,1.75,2480,11010,1,1630,850,1966,0,2770,10744
"Suniti society,Bhadrakali, Koknipura,Nashik",677900,3,2.5,2440,4587,2,2440,0,2010,0,2750,4587
"Nashik Road, Nashik",425000,3,1,1010,5864,1,1010,0,1915,0,1290,5000
"Thakkers Richmond Heights, Damodar Nagar, Pathardi Phata,Nashik",180250,2,0.75,900,9600,1,900,0,1941,0,1250,14280
"Alaknanda Society, Dwarka, Nashik",464000,6,3,2300,3404,2,1600,700,1920,1994,1560,1312
"Flora Heights,Hanuman Nagar, Nashik",320000,4,2.25,1550,7579,2,1550,0,1993,0,1630,6397
"Yogiraj apartment,Abhiyanta Nagar, Nashik",625504,3,2.25,1270,1566,2,1060,210,2014,0,1160,1327
"Ambika Nagar, Nashik",592500,4,2.5,2240,12032,1,2240,0,1983,0,2520,12368
"Bishnoi Residency, Prashant Nagar, Pathardi Phata,Nashik",465000,3,2.5,2714,17936,2,2714,0,2005,0,2590,18386
"Maruti Park Apartment,Samta Nagar, Nashik",477000,4,2.75,1720,6270,2,1720,0,1978,0,2130,8700
"Ganesh Signifia, Indira Nagar, Nashik",280000,2,1,850,16400,1,850,0,1923,0,1100,14459
"Noman Apartment Azad nagar,Dwarka, Nashik",1510000,5,3,3300,33474,1,1870,1430,1957,1991,3836,20953
"Maruti Park Apartment,Samta Nagar, Nashik",445838,3,2.5,2250,5692,2,2250,0,2000,0,1320,5390
"Vighnaharta apprtment,Shalimar, Nashik",1070000,2,2.25,3900,14864,1,1950,1950,1947,0,2580,5184
"Vighnaharta appartment,Shalimar, Nashik",467000,2,1.5,1320,10800,1,1320,0,1947,0,2120,12040
"Sriniketan apt,Radha Vasudev Batavia Nagar, Govind Nagar,Nashik",686000,4,2.5,2760,6440,2,2760,0,1999,0,3070,8127
"Kamathwada ,Abhiyanta Nagar, Nashik",279950,3,2,1750,9750,1,1350,400,1961,0,1900,10125
"Tirumla Nagar, Wadala Gaon,Nashik",527000,4,2.25,2330,19436,2,2330,0,1987,0,1910,10055
"Ruddhi Enclave by Ruddhi Buildcon, Damodar Nagar, Pathardi Phata,Nashik",325000,3,2.25,2220,16020,1,1780,440,1966,0,2080,9583
"Ruddhi Enclave by Ruddhi Buildcon, Damodar Nagar, Pathardi Phata,Nashik",328000,3,2.25,2020,8379,2,2020,0,1994,0,2020,8031
"Damodar Nagar, Pathardi Phata,Nashik",390000,3,2.25,1250,7500,1,1250,0,1942,0,1280,7392
"Kala Nagar, Indira Nagar,Nashik",479950,2,2,1510,6516,1,1510,0,2005,0,1640,6009
"United Sneh, Sharanpur, Nashik",264950,4,2.25,1720,9753,1,1120,600,1978,0,1510,9753
"Prabhat Nagar, Nashik",235000,3,1,1430,15246,1,980,450,1961,0,1960,13068
"Gandhi Nagar Airport Area, Deolali Gaon,Nashik",516500,3,2.5,1480,4729,2,1480,0,2004,0,2250,4729
"Gaikwad Nagar, Nashik",655000,2,1.75,1450,15798,2,1230,220,1915,1978,2030,13193
"Panchavati, Nashik",500000,4,2.75,2280,15347,1,2280,0,1960,0,2280,15347
"Kala Nagar, Indira Nagar,Nashik",315000,6,2.75,2940,7350,1,1780,1160,1978,0,2120,8236
"Sinnar Taluka, Nashik",213000,2,1,1000,10200,1,1000,0,1961,0,1150,13702
"HARI VIHAR CHS,Matoshree Nagar, Nashik",475000,3,1.5,2480,5280,1.5,1620,860,1947,0,2090,4800
"Nayantara Presidency Phase 4 by Pancharatna Builcon Pvt. Ltd., Nashik Road, Nashik",1030000,5,4,3760,28040,2,3760,0,1983,0,3430,35096
"Ganesha Valley, Bridge Nagar, Nashik",416000,3,2,2220,94300,1,1640,580,1976,0,2070,80100
"Rajiv Nagar, Nashik",410000,4,1,1970,4740,1.5,1670,300,1904,2005,1510,4740
"Gangapur, Nashik",800000,3,3.5,3830,221284,2,3530,300,1993,0,2920,148539
"Liberty Glory,Shanker Nagar, Veer Sawarkar Nagar,Nashik",472000,6,2.5,4410,14034,1,2350,2060,1965,0,2600,13988
